S.N,URL,Timestamp,Documents,Frames,JSEventListeners,Nodes,LayoutCount,RecalcStyleCount,LayoutDuration,RecalcStyleDuration,ScriptDuration,TaskDuration,JSHeapUsedSize,JSHeapTotalSize,RenderingTime
98,https://www.ing-gesellschaft-hh.de,96962.725432,3,1,41,1180,7,3,0.00261,0.0024,0.007373,0.048527,2012600,3821568,2857
99,https://www.michalski-kraus.de,96963.759741,9,4,35,4216,17,15,0.017297,0.014183,0.009665,0.262888,2181396,3559424,2438
100,https://www.goodsamaritanepiscopal.church,96963.994585,5,5,71,8339,20,20,0.015986,0.043613,0.257174,0.983987,10608728,17969152,5180
101,https://web-stark.de,96965.034127,10,4,33,3785,11,13,0.010071,0.008872,0.298122,0.364481,2232284,3821568,2821
102,https://beginideas.com,96965.774046,27,13,188,6037,16,53,0.021886,0.018487,0.04549,0.263697,4702780,9199616,2001
103,http://www.astorplumbingandheating.info,96967.19497,3,1,39,2786,12,12,0.00463,0.00333,0.010657,0.057548,2388656,5267456,3185
104,https://ngbygg.nu,96967.715837,3,5,90,5181,13,19,0.007437,0.021631,0.136862,0.30058,5706852,15753216,6123
105,https://www.farwellsfinejewelry.com,96968.137529,5,2,62,5758,28,70,0.015444,0.011902,0.154756,0.260846,8331540,12963840,2778
106,https://samanthashakiraclarke.com,96971.863335,4,1,90,21027,44,62,0.104509,0.02029,0.065303,3.711027,23834856,39145472,2255
107,https://www.ossia.org,96975.087517,3,1,0,1332,5,1,0.002655,0.00076,0,0.047385,1276384,3297280,1964
108,https://www.internaatvlaamseardennen.be,96975.47604,5,3,27,3083,25,33,0.027991,0.011484,0.082551,0.190598,4205776,6578176,5226
109,https://www.tmod.co.uk,96976.442774,8,3,16,3129,10,8,0.028444,0.01175,0.260391,0.401358,9612120,15429632,3093
110,https://manhattantomanagua.com,96976.885956,3,1,35,11458,21,41,0.053494,0.018978,0.236513,0.492422,7053192,11653120,4295
111,https://www.kfo-bastin.de,96977.50896,3,2,173,16842,44,87,0.018742,0.038476,0.059383,1.91836,3483368,6340608,4583
112,https://www.bricskorea.com,96978.465602,1,1,85,1191,21,20,0.03227,0.025845,0.156087,0.380538,5462276,11763712,2658
113,https://tailoredkneads.com,96979.20709,3,1,373,7313,11,17,0.025803,0.024114,0.061924,0.272835,6998856,11337728,1929
114,https://www.designadvisoryservice.co.uk,96979.634134,4,1,60,2865,12,13,0.00664,0.015281,0.129551,2.524092,5872936,8302592,4490
115,https://didrih.com,96980.511678,23,11,116,3672,17,21,0.027164,0.011072,0.179034,0.346926,8100416,13918208,2984
116,http://www.nuyoulabs.com,96982.142284,3,1,69,4869,32,59,0.012446,0.008963,0.067671,0.159956,3100772,4743168,6834
117,https://www.bradglen.co.uk,96983.270572,2,1,316,21854,20,47,0.03997,0.015323,0.111567,0.598435,15575432,24276992,4972
118,https://www.jimclickjeep.com,96984.077604,18,18,969,10025,139,170,0.101184,0.06447,2.27045,3.209605,40134736,71303168,7733
119,https://neurosurgery.xyz,96984.770386,3,7,43,3572,27,33,0.024385,0.006909,0.193344,0.336214,8497656,17588224,4933
120,https://www.globofiat.com.br,96985.396825,2,5,161,42313,41,64,0.056669,0.032073,0.446424,1.133765,14342324,23388160,9933
121,https://www.urgeschichte-zug.ch,96987.549243,3,1,63,3733,18,11,0.018315,0.008486,0.016943,0.10114,2094000,3821568,3994
122,https://www.sagradocorazon.net.ar,96988.148888,2,3,288,9842,77,180,0.085339,0.055449,0.155637,0.519177,6157656,11714560,6901
123,http://fachonet.com,96989.005641,46,1,285,21544,135,266,0.066446,0.069347,0.156108,0.494202,5293644,10510336,5914
124,https://www.dr-lucas-bonn.de,96989.25939,4,1,22,2414,15,14,0.013116,0.013179,0.01958,0.102302,2191544,3956736,3510
125,https://www.autopflege-potsdam.eu,96989.678192,4,1,17,1556,18,22,0.019166,0.013232,0.028592,0.118983,2324288,3956736,7699
126,http://www.wiegel.net,96993.08577,5,2,188,7695,72,129,0.059732,0.030973,0.040682,0.466412,3022576,5529600,3702
127,https://malerfachbetrieb-gruhl.de,96993.799248,4,1,65,9913,39,69,0.124871,0.053759,0.036142,0.35396,2925304,4481024,4352
128,http://www.joannakori.com,96994.300121,3,3,162,5493,17,16,0.008985,0.00725,0.104587,0.502081,14822116,22536192,2626
129,https://www.music-shop-polzow.de,96994.919021,2,1,14,45965,16,14,0.09103,0.051173,0.139731,0.622168,6536000,8507392,36439
130,https://bpec.pl,96995.947905,37,19,335,12976,42,91,0.08479,0.032024,0.062206,0.474926,4609460,6316032,14157
131,https://gswanson.com,96998.973398,5,16,38,8681,24,20,0.044782,0.01209,0.188278,0.408551,6768920,14860288,11754
132,https://www.dduim.com,96999.787467,4,7,108,10157,40,172,0.066597,0.046841,0.424065,0.792479,10780000,18313216,6646
133,https://rodgershairstyling.com,97000.990069,15,15,50,4885,21,47,0.051201,0.035483,0.15793,0.449359,6334008,16015360,3808
134,https://www.boroondarafamilynetwork.org.au,97001.858972,3,1,7,2294,9,5,0.011351,0.004615,0.000118,0.071352,1390432,3035136,3968
