id,url,title,PTime(sec),TTime(sec)
133,https://ngbygg.nu,Niclas Gustavsson Bygg & Snickeri AB | Yxlan Stockholm Norrtälje 556780-5303,6.127,6.17622
136,http://www.astorplumbingandheating.info,Astor Plumbing and Heating for your home and business plumbing needs,2.518,2.566873
109,http://www.warrtech.com.au,,60.018,60.066339
125,https://www.music-shop-polzow.de,"DER-GITARREN-DOKTOR Musikinstrumente & Beschallung bei Pasewalk - Musikshop, Musikinstrumente bestellen, Beschallung, Saiteninstrumente, Tasteninstrumente, Blasinstrumente, Drums-u. Percussion",28.193,28.246842
138,https://www.farwellsfinejewelry.com,Farwell's Fine Jewelry - Home,3.081,3.142514
139,http://mergedesignstudio.com,,2.103,2.17545
137,https://www.internaatvlaamseardennen.be,Internaat Ronse | Internaat Vlaamse Ardennen,5.289,5.34316
111,http://www.metrodriltech.com,,60.013,60.056008
140,https://samanthashakiraclarke.com,Corporate & Personal Wellness Consultant | SSC,4.91,4.957629
141,https://www.ossia.org,Home Page,2.264,2.317482
142,https://www.tmod.co.uk,Safe Driving Lessons Colchester. High Passing Rates!,2.108,2.156917
144,https://www.kfo-bastin.de,Praxis für Kieferorthopädie Walsrode Dr. Sandra Bastin,2.494,2.544945
145,https://www.designadvisoryservice.co.uk,"Architecture Design Advice Cheltenham, Gloucestershire",2.795,2.843691
149,https://www.bricskorea.com,Brics Korea Co. Ltd.,2.264,2.324056
150,https://tailoredkneads.com,Licensed Massage Therapist - Tailored Kneads,1.649,1.700121
151,https://didrih.com,Доставка еды в офис в Одессе. Заказ еды на дом. Комплексные обеды и бизнес-ланчи с доставкой | Горячий Дидрих,2.941,3.001271
129,https://www.goodsamaritanepiscopal.church,,30.335,30.390296
146,https://www.globofiat.com.br,Home,7.533,7.587478
153,https://ledartworks.com,,0.065,0.132054
148,https://www.jimclickjeep.com,Tucson Jeep Dealer in Tucson AZ | Marana Oro Valley Sierra Vista Jeep Dealership Arizona,7.167,7.213706
143,https://manhattantomanagua.com,MANHATTAN TO MANAGUA - Home,13.339,13.39385
152,https://www.bradglen.co.uk,"Brad Glen Voices - Voiceover & voice acting - Brighton, UK",2.971,3.029833
154,https://neurosurgery.xyz,,2.85,2.928497
155,https://bananalimited.com,,2.242,2.300013
158,https://www.autopflege-potsdam.eu,Autopflege Potsdam – Professionelle Autopflege,3.367,3.422691
156,https://bpec.pl,Strona główna - Brzeskie Przedsiębiorstwo Energetyki Cieplnej Sp. z o.o.,5.529,5.583605
159,http://fachonet.com,Fachonet – Fachonet,5.99,6.035262
160,https://www.urgeschichte-zug.ch,Home | Museum für Urgeschichte(n),4.631,4.67966
157,https://www.sagradocorazon.net.ar,Sagrado Corazón | Sanatorio de Alta Complejidad,8.321,8.377267
147,http://www.nuyoulabs.com,,60.022,60.063251
