S.N,Batch Count,Total Order,URL,Title,Length,Time Taken(ms),Render Time (ms)
47,15,63,https://www.saltspringunited.com,Salt Spring United - Home,20141,9287,5149
48,16,64,https://gnarlyeatstogo.com,Gnarly Eats : 5 % Off | NYBrooklyn 11215,13820,8353,3414
49,16,65,https://www.solutionsprint.fr,Solution de catalogues d'imprimés personnalisables pour commande en ligne,27194,2431,2257
50,16,66,https://seniorenheim-weihungszell.de,Startseite - Seniorenheim Weihungszell,157331,4439,3388
51,16,67,https://www.dowhatworks.co.uk,Burn Out | Do What Works | England,1058868,4406,2518
52,17,68,https://www.qplusconcept.com,QPLUS CONCEPT,19230,3830,3134
53,17,69,http://www.campiglioconsulting.com,Campiglio Consulting SRL,1604,2056,1809
54,17,70,https://ikartindy.com,ikart – built to win – easy to maintain – made in Indianapolis,58393,5566,4095
55,18,72,https://www.sakeco.ch,Homepage | localhost,12610,6797,5413
56,18,73,https://www.hamiltonsbar.co.uk,Hamilton's Bar and Kitchen Stockbridge,22880,9555,8123
57,18,74,http://www.nwp-ksu.org,NWP-KSU - National Writing Project at Kent State University,39613,3535,3061
58,19,77,https://www.bhhstruerealty.com,True Realty- Madison,605783,8196,6516
59,19,78,http://www.tallerurbanomarbella.com,SUZUKI MARBELLA TALLER URBANO- Servicio Oficial Suzuki IbÃ©rica,3775,4933,4529
60,20,80,https://www.freshsmiles.ca,Dental Hygienist | Fresh Smiles | Etobicoke,565607,4744,3902
61,20,81,https://www.la-maison-eliott.fr,LA MAISON D'ELIOTT - Site internet de La Maison d'Eliott,182060,4277,3243
62,20,82,https://www.localmeets.co.uk,localmeets.co.uk | Find Local Singles For Fun and Dating,44204,5168,4355
63,21,84,http://permare.net,Per Mare – Chiama (+39) 3341583239,97867,6655,6049
64,21,85,http://www.sessellust.de,Sessellust - Homepage,2103,3203,3044
65,21,86,https://www.ajs-shop.co.uk,AJS Shop Home,59501,5456,5197
66,22,88,https://www.wyevalleyrecruitment.com,Home - Wye Valley Recruitment,57872,6923,6436
67,22,91,https://kentpaintball.co.uk,Kent Paintball – Tunbridge Wells Paintball Center,148675,13883,12939
68,23,92,https://www.soelia.it,Soelia SpA |,345280,9490,9075
69,23,93,http://researchiscool.com,Research jobs & academic social networking worldwide,144033,6961,6598
70,23,94,http://www.jlcwest.com,加拿大28-预测网|加拿大28预测|PC28预测|专注研究走势结果查询网站！,123268,2592,2051
71,23,95,https://www.theburgerlab.co.uk,The BURGER LAB,164334,5777,5212
72,24,97,https://www.valoro.pl,Valoro sp. z o.o. - Partnerstwo w inwestycjach,39323,5405,5166
73,24,98,https://rrequestriancenter.com,Home ⋆ R&R Equestrian Center,94086,30752,30438
74,25,101,http://www.rishabcommerce.com,RCC Educational Group of Institution,11966,4556,4042
75,25,102,https://www.richardsonpodiatry.co.uk,Podiatry Services | Richardson Podiatry,352138,2792,2516
76,25,103,https://www.growupmarketing.com.ar,GROWUP - Marketing & Diseño,39851,9685,7229
77,26,104,http://www.warrtech.com.au,warrtech,67290,9611,8746
78,26,106,https://reliablepod.com,Reliable Print On Demand,198010,12746,10394
79,26,107,http://www.metrodriltech.com,Metro Drilltec,39741,14463,12967
80,27,108,https://klinjuryattorneys.com,KL Personal Injury Lawyers serving Boca Raton Vero Beach & Fort Myers,333620,6742,5809
81,27,109,http://www.icesindia.com,International Conference & Exhibition Services :: Index,52440,3272,2478
82,27,110,https://www.kangenwaterlondon.co.uk,People everywhere are discovering the life-changing power of Kangen Water® | K. W. Nation LLC. • Binstead Hampshire United Kingdom,435589,9325,7260
83,27,111,https://leetrainingservices.com,Lees Training Services,36760,3450,1711
84,28,112,https://www.tyrematics.com.au,Tyrematics - Taking the Pressure.,4766,3731,3048
85,28,115,https://www.magicalmomentsphotography.co.uk,Maternity newborn family & cakesmash magicalmomentsphotography.co.uk Thatcham England photographer of maternity & newborn images,948151,3670,2895
86,29,116,https://www.whittlesey-osteopaths.com,Whittlesey Osteopaths Healthcare for the whole family,44490,3896,2882
87,29,117,https://www.vanlocks.co.uk,Van Locks & Van Security Store UK | Van Deadlocks | Van Slamlocks | ArmaPlate | ArmaCat Buy Online | Vanlocks.co.uk - Vanlocks.co.uk,144016,9663,8161
88,30,120,https://www.lesminipouces.fr,Relais Assistantes Maternelles Les Mini-Pouces - Genas,50572,5368,4830
89,30,121,http://www.cliqueetcroque.com,so米体育在线直播·主頁欢迎您,49540,39535,38595
90,30,122,http://www.b2btechno.net,Accueil - B2B Techno - fr,14602,3965,3638
91,30,123,http://www.milwaukeeelectric.com,MilwaukeeELECTRIC.com is a strong memorable brandable name. This domain could be yours!,4967,3570,3098
92,31,126,https://www.ing-gesellschaft-hh.de,Ingenieurgesellschaft H+H das Planungsbüro für Gebäudetechnik,21135,2911,2495
93,31,127,https://www.creative4you.com.pt,Início | Creative4You,206815,6160,5505
94,32,128,https://beginideas.com,Home | BeginIdeas,107251,2757,1635
95,32,130,https://www.michalski-kraus.de,Zahnärzte Dres. Michalski-Paul & Kraus ♥ Wiesloch,15073,5920,2644
96,32,131,http://www.astorplumbingandheating.info,Astor Plumbing and Heating for your home and business plumbing needs,8353,5703,3103
97,33,132,https://web-stark.de,Stark im Web | Software + Design + Content von web-stark.de,32666,6010,3615
98,33,134,https://www.internaatvlaamseardennen.be,Internaat Ronse | Internaat Vlaamse Ardennen,20528,4176,3180
99,33,135,https://www.farwellsfinejewelry.com,Farwell's Fine Jewelry - Home,39251,3872,2539
100,34,136,https://ngbygg.nu,Niclas Gustavsson Bygg & Snickeri AB | Yxlan Stockholm Norrtälje 556780-5303,49963,7069,6719
101,34,137,https://samanthashakiraclarke.com,Corporate & Personal Wellness Consultant | SSC,164859,3285,2093
102,34,138,https://www.ossia.org,Home Page,2536,3037,2476
103,34,139,https://www.tmod.co.uk,Safe Driving Lessons Colchester. High Passing Rates!,17599,3845,2197
104,35,140,https://www.kfo-bastin.de,Praxis für Kieferorthopädie Walsrode Dr. Sandra Bastin,70715,4125,3431
105,35,141,https://www.designadvisoryservice.co.uk,Architecture Design Advice Cheltenham Gloucestershire,110681,4955,4584
106,35,143,https://www.bricskorea.com,Brics Korea Co. Ltd.,77281,2783,1996
107,36,145,https://manhattantomanagua.com,MANHATTAN TO MANAGUA - Home,48252,7602,6836
108,36,147,https://www.bradglen.co.uk,Brad Glen Voices - Voiceover & voice acting - Brighton UK,572338,4003,3172
109,37,148,https://www.globofiat.com.br,Home,284774,10005,9095
110,37,149,https://neurosurgery.xyz,Neurosurgery.xyz domain name is for sale. Inquire now.,19515,5308,4979
111,37,150,https://www.jimclickjeep.com,Tucson Jeep Dealer in Tucson AZ | Marana Oro Valley Sierra Vista Jeep Dealership Arizona,653690,10776,9853
112,37,151,https://www.music-shop-polzow.de,DER-GITARREN-DOKTOR Musikinstrumente & Beschallung bei Pasewalk - Musikshop Musikinstrumente bestellen Beschallung Saiteninstrumente Tasteninstrumente Blasinstrumente Drums-u. Percussion,146805,26498,25864
113,38,152,https://bpec.pl,Strona główna - Brzeskie Przedsiębiorstwo Energetyki Cieplnej Sp. z o.o.,49157,7058,5926
114,38,153,https://www.autopflege-potsdam.eu,Autopflege Potsdam – Professionelle Autopflege,37118,5588,4160
115,38,154,https://didrih.com,Доставка еды в офис в Одессе. Заказ еды на дом. Комплексные обеды и бизнес-ланчи с доставкой | Горячий Дидрих,60124,11403,9539
116,38,155,https://www.sagradocorazon.net.ar,Sagrado Corazón | Sanatorio de Alta Complejidad,235164,7681,6433
117,39,156,https://www.urgeschichte-zug.ch,Home | Museum für Urgeschichte(n),15306,5194,4927
118,39,159,https://gswanson.com,Homepage - G Swanson Construction Inc.,56790,8437,4907
119,40,160,https://www.dr-lucas-bonn.de,Dr. med. Svenja Lucas – Fachärztin für Gynäkologie und Geburtshilfe – Wir sind umgezogen! Sie finden uns im Bonner Talweg 42 53113 Bonn,41905,7103,6299
120,40,161,https://malerfachbetrieb-gruhl.de,Thomas und Robin Gruhl – Denn Qualität ist unsere Leidenschaft!,54646,7163,5743
121,40,162,http://www.wiegel.net,Werbeagentur Wiegel GmbH - Die Agentur für Agrarmarketing - www.wiegel.net,28468,7209,5612
122,40,163,http://www.vegrex.in,Vegrex Communications Pvt. Ltd. | Vegrex | vegrex.in,120196,7699,4710
123,41,164,http://fachonet.com,Fachonet – Fachonet,65320,15078,12135
124,41,165,http://www.joannakori.com,Home | Joanna Kori Artist,645027,5456,4956
125,41,166,https://www.serenityblue.co.uk,Serenity Blue | Holistic Healing Therapies | Ballymena Northern Ireland,766316,3111,2339
126,41,167,https://rodgershairstyling.com,Hair Salon in Johnstown PA | Rodgers Hair Styling,100184,7162,5576
127,42,168,https://www.boroondarafamilynetwork.org.au,Home - The Boroondara Family Network,8916,4260,3341
128,42,169,https://www.dduim.com,DDUIM – DDUIM,70509,9361,7584
129,42,170,https://www.saniplus-fritzlar.de,Saniplus Handicap Construct - Fritzlar,196669,9376,6480
130,42,171,http://www.kidgell.com,Kidgell Technologies Ltd - LabManager LIMS and PeakPro CDS Consultants,10248,5110,3740
131,43,172,http://www.indianmetalnalloys.com,Welcome to Indian Metal & Alloys Industries,94702,9142,7539
132,44,177,https://justpolarized.com,Polarized Sunglasses | Men & Women's Styles | Driving Sunglasses – Just Polarized,278335,8643,7194
