S.N,URL,Timestamp,Documents,Frames,JSEventListeners,Nodes,LayoutCount,RecalcStyleCount,LayoutDuration,RecalcStyleDuration,ScriptDuration,TaskDuration,JSHeapUsedSize,JSHeapTotalSize,RenderingTime
87,http://vikingboatworks.com,17685.962545,7,4,12,696,13,12,0.016106,0.008082,0.023286,0.079405,2294356,3944448,5475
88,http://www.b2btechno.net,17686.391891,6,4,15,657,7,7,0.012282,0.003075,0.014659,0.073919,2280432,4993024,3596
89,https://www.creative4you.com.pt,17687.795644,7,4,102,765,32,61,0.103781,0.012086,0.067526,0.243783,5542516,10129408,4690
90,https://www.ing-gesellschaft-hh.de,17687.944347,6,4,41,325,7,6,0.002419,0.001859,0.006849,0.040587,1783408,3547136,3180
91,https://beginideas.com,17689.844891,27,13,200,774,16,55,0.028944,0.016818,0.049745,0.171424,4210712,7090176,1276
92,https://www.michalski-kraus.de,17690.328165,9,4,20,796,15,14,0.033373,0.024597,0.031805,0.130851,1772240,3547136,3230
93,https://web-stark.de,17690.578474,10,4,17,590,12,13,0.030183,0.011799,0.016767,0.095609,2249608,4333568,3058
94,http://www.astorplumbingandheating.info,17691.174316,6,4,39,414,12,13,0.011378,0.004729,0.012046,0.057998,2177196,3682304,2996
95,https://ngbygg.nu,17692.49129,6,7,88,834,13,20,0.013406,0.016587,0.428149,0.560013,6417544,15478784,5901
96,https://www.farwellsfinejewelry.com,17693.198293,7,4,68,878,29,73,0.023672,0.011155,0.135553,0.22658,9267900,13213696,2577
97,https://samanthashakiraclarke.com,17693.931319,7,4,89,2001,42,65,0.126888,0.018437,0.060074,0.451547,18836532,38199296,2146
98,https://www.ossia.org,17696.718765,6,4,0,163,5,4,0.009507,0.001249,0,0.03067,1093200,2498560,2617
99,https://www.internaatvlaamseardennen.be,17697.013773,8,6,34,583,27,40,0.038847,0.010077,0.072469,0.167845,4840368,9711616,5291
100,https://www.tmod.co.uk,17697.856282,11,6,16,518,11,12,0.044618,0.011041,0.239196,0.347334,8072216,15155200,2462
101,https://www.kfo-bastin.de,17698.345131,6,5,158,1458,19,45,0.016258,0.023238,0.036512,0.144844,2634876,6184960,3286
102,https://www.music-shop-polzow.de,17698.705242,7,4,90,7298,16,14,0.087258,0.037694,0.123857,0.373715,7640056,12120064,16391
103,https://manhattantomanagua.com,17700.053888,6,4,35,970,28,71,0.031195,0.013104,0.145862,0.26361,7240956,11116544,6439
104,https://www.designadvisoryservice.co.uk,17700.451495,7,4,62,512,14,15,0.012193,0.012064,0.075595,0.150359,5544360,9412608,3442
105,https://tailoredkneads.com,17700.947628,6,4,370,550,19,25,0.056089,0.014631,0.046015,0.198868,6234768,10686464,1653
106,https://www.bricskorea.com,17701.903493,6,4,100,713,36,35,0.037999,0.020986,0.124308,0.285776,7837124,11644928,2722
107,https://www.bradglen.co.uk,17703.900452,5,4,306,1338,23,30,0.038059,0.022815,0.104983,0.465774,10779264,21086208,2781
108,https://didrih.com,17704.326908,13,6,116,653,22,29,0.016826,0.008937,0.185695,0.285115,8173960,12070912,3233
109,https://www.jimclickjeep.com,17706.351662,44,22,724,5126,140,206,0.205572,0.042113,1.993583,2.829235,49339476,80330752,7415
110,https://neurosurgery.xyz,17706.795772,9,12,46,459,25,32,0.015853,0.004324,0.177277,0.279208,8508764,17838080,5381
111,https://www.autopflege-potsdam.eu,17708.1952,7,4,11,349,14,13,0.040879,0.008597,0.013486,0.100772,2320296,3682304,3365
112,http://fachonet.com,17711.402579,49,4,284,5685,138,250,0.077148,0.061968,0.132871,0.395122,5755152,10113024,6154
113,https://www.dr-lucas-bonn.de,17712.077656,7,4,22,418,17,17,0.020164,0.013167,0.017798,0.092317,2292076,3944448,3606
114,https://www.sagradocorazon.net.ar,17712.851234,4,5,288,1134,57,168,0.058848,0.035753,0.159026,0.377361,5142196,11022336,8381
115,https://www.urgeschichte-zug.ch,17713.063814,6,4,63,646,19,10,0.022132,0.007516,0.01765,0.096474,2412600,3809280,6381
116,https://gswanson.com,17715.623092,14,28,46,1052,36,33,0.047524,0.010608,0.138093,0.334981,11959868,20484096,6234
117,https://tandooreindia.com,17717.120883,6,4,108,515,23,27,0.014571,0.015142,0.058229,0.167053,6423568,10452992,3402
118,http://www.wiegel.net,17718.633092,7,4,188,1127,69,134,0.05197,0.029139,0.041659,0.425037,2619812,4993024,4690
119,https://malerfachbetrieb-gruhl.de,17719.176175,7,4,65,1543,41,86,0.128048,0.053051,0.032964,0.331009,2676380,3944448,5849
120,https://rodgershairstyling.com,17720.434988,32,15,58,1759,21,48,0.041813,0.024027,0.098262,0.252262,8341268,12275712,3548
121,http://www.joannakori.com,17720.824746,4,6,130,665,15,17,0.014539,0.009301,0.085212,0.394727,12823228,23851008,4621
122,https://www.saniplus-fritzlar.de,17723.078667,18,15,327,6301,42,327,0.073822,0.085734,0.195455,0.553157,5460812,10498048,4918
123,https://www.serenityblue.co.uk,17723.490447,4,4,271,999,11,18,0.020489,0.027155,0.094701,0.368215,10973604,22257664,2909
124,http://www.indianmetalnalloys.com,17723.693608,14,8,3,426,8,15,0.019623,0.003325,0.015179,0.096285,1678396,3284992,3486
125,https://bpec.pl,17724.706533,37,19,266,2263,39,78,0.058338,0.027806,0.0692,0.286243,4200620,6041600,21721
126,https://www.dduim.com,17725.472765,12,12,114,1404,37,116,0.073583,0.027489,0.157925,0.453644,12624188,20959232,8899
127,https://www.boroondarafamilynetwork.org.au,17726.163474,6,4,1,354,8,6,0.019008,0.007133,0.000176,0.072085,1109620,2760704,4945
128,https://justpolarized.com,17727.616573,5,6,526,3531,20,215,0.022097,0.067852,0.360972,0.642112,9652492,20230144,4593
129,http://www.gaytantrucking.com,17729.411716,6,4,0,98,5,4,0.004357,0.00115,0,0.023076,1092148,2498560,2786
130,https://www.thewiseway.co.uk,17730.909141,11,5,461,1332,27,43,0.036989,0.040563,0.120212,0.462361,15568016,23314432,3565
131,https://www.eprotax.com,17731.58416,17,11,350,8496,122,221,0.157943,0.192923,0.176658,0.823475,12492796,21200896,7907
132,https://www.oosmose.com,17732.546706,5,5,467,3451,17,95,0.041682,0.037529,0.119416,0.360283,6799740,12861440,5316
133,http://tampadumpsterrental.com,17734.611213,10,8,62,1664,20,26,0.035292,0.016569,0.145667,0.270567,13776112,21286912,3263
134,https://www.fionatwomey.ie,17735.223022,7,4,94,588,16,40,0.030959,0.0147,0.018676,0.122844,2554936,3944448,2290
135,https://www.ihp.com.do,17736.457941,6,4,443,1439,27,89,0.040712,0.039653,0.131934,0.567287,9830980,19177472,3736
136,https://travelscotland.com,17736.967364,7,4,4,195,11,5,0.004055,0.004863,0.009177,0.055016,2003780,3809280,10725
137,https://resapin.com.es,17738.051445,7,4,172,4121,33,86,0.045163,0.076409,0.151072,0.434305,7497604,16678912,6975
138,http://northstar.com.tr,17738.506086,6,4,71,1165,85,172,0.024889,0.045593,0.087464,0.346593,4742792,6180864,13329
139,https://nutsd.com,17739.088168,13,12,81,1816,49,226,0.041254,0.084593,0.107339,0.360504,5350832,7639040,10366
140,https://www.lenoir-geometre.fr,17740.563312,6,4,48,434,11,35,0.015108,0.010727,0.018518,0.092279,2153964,3809280,3030
141,http://www.zumbaconmary.com,17741.282207,8,6,30,514,7,7,0.00696,0.002076,0.004629,0.076839,1568164,2760704,17175
142,https://www.greyhousemedia.com,17741.507286,10,6,14,343,15,19,0.02723,0.007318,0.068764,0.133167,5699876,10698752,6601
143,http://www.premiumclasstransport.fr,17742.043686,6,4,45,513,33,35,0.010466,0.003591,0.020801,0.067741,2277960,3809280,3356
144,https://juni-art.com,17743.585392,7,4,39,796,22,23,0.072867,0.019663,0.028929,0.210676,2924712,4608000,6228
145,https://www.reruntruckparts.com,17743.825908,7,5,44,671,23,26,0.007099,0.004688,0.027812,0.073487,2483304,4993024,2834
146,https://www.ws-edelstahltechnik.de,17745.191629,8,4,57,2944,42,109,0.035739,0.031226,0.077889,0.23632,5513708,9519104,3291
147,https://www.dancerlove.org,17745.656087,6,8,246,884,27,132,0.021371,0.0315,0.118235,0.491687,13007192,23216128,4348
148,https://www.dn8.uk,17747.122012,6,4,135,42,7,8,0.003752,0.002606,0.04577,0.075239,2589624,4206592,5610
149,http://www.braitmaier-garten.de,17748.219909,6,4,11,380,11,12,0.011813,0.001612,0.012026,0.042537,1836768,3682304,4477
150,https://izz2izz.it,17749.870671,22,22,116,3627,15,19,0.059273,0.048147,0.008927,0.262368,1850848,3940352,5102
151,https://www.speedratings.com,17750.035672,23,16,80,951,26,57,0.015509,0.012292,0.130054,0.241072,8294220,12333056,4569
152,https://www.baldibalmelli.ch,17751.095181,6,4,8,250,22,21,0.027106,0.002335,0.012222,0.064193,2183784,3944448,3570
153,http://www.frameofmindproductions.com,17752.514463,6,4,21,228,11,13,0.00603,0.004329,0.035662,0.072796,2340984,4993024,2149
154,https://www.robertleitnerfan.com,17753.033836,9,8,57,1048,26,37,0.019322,0.034096,0.095749,0.208897,6056852,10649600,4287
155,https://www.teambau-itzum.de,17754.608441,7,4,242,3924,34,66,0.062229,0.114556,0.060762,0.330192,5724760,10162176,8063
156,http://www.dempseyfinancial.com,17755.510355,14,8,27,200,13,26,0.013303,0.003964,0.053376,0.106234,4203432,6455296,5456
