S.N,URL,Timestamp,Documents,Frames,JSEventListeners,Nodes,LayoutCount,RecalcStyleCount,LayoutDuration,RecalcStyleDuration,ScriptDuration,TaskDuration,JSHeapUsedSize,JSHeapTotalSize,RenderingTime
148,http://www.nebenan-in-afrika.de,275094.344147,6,2,14,3005,66,70,0.025924,0.017378,0.016047,0.174059,2283440,3956736,3959
149,https://www.cteensouthbay.com,275096.420364,1,1,286,14798,20,16,0.038628,0.018481,0.146774,0.705095,15046060,24174592,4329
150,https://orion-ats.com,275097.844223,4,4,232,17460,31,118,0.232575,0.104048,0.138318,1.021172,3396596,8675328,10454
151,https://tomax-fitness.de,275098.734294,7,1,85,12415,65,106,0.103003,0.121675,0.097562,0.557898,4477236,7127040,6368
152,https://hesperum.fr,275099.541095,8,12,93,29709,43,72,0.063655,0.071436,0.310325,0.832454,9690948,28434432,7655
153,https://www.seesocalproperties.com,275100.877568,1,1,782,12735,89,405,0.279324,0.232552,0.275748,1.590522,4674000,14704640,6728
154,https://csklawyers.ca,275101.574165,5,5,142,14862,69,252,0.089986,0.125427,0.392903,1.18636,13392100,20471808,6610
155,https://www.materadministratie.nl,275101.892382,4,1,20,7933,14,14,0.062658,0.024345,0.036267,0.213116,2398876,3956736,5443
156,https://off-basehousing.com,275102.53176,4,3,45,35142,23,24,0.047417,0.03082,0.095414,0.342768,4417272,6316032,7088
157,https://www.hailiapartments.com,275103.195833,4,4,217,11891,54,59,0.051468,0.024438,0.28945,0.604129,10145940,20525056,6019
158,https://www.hcjfs.org,275107.31276,4,10,97,19475,28,37,0.076069,0.034059,0.49753,0.922571,15430476,32428032,7537
159,https://www.xn--orthopdieamviktualienmarkt-lhc.de,275108.001604,11,4,74,6352,30,51,0.033468,0.03608,0.082994,0.30553,4883484,7888896,6332
160,https://www.buchanansubaru.com,275109.6453,8,15,728,31154,105,194,0.074944,0.123714,3.105894,4.342631,36961532,55980032,15591
161,http://www.csktfire.org,275109.9741,4,3,266,18808,40,59,0.045211,0.028881,0.067431,0.298073,4916728,9461760,6347
162,https://www.willmakersofashton.co.uk,275110.079284,3,1,0,21,5,1,0.000373,0.000396,0,0.028936,1172084,2510848,3683
163,https://www.csksverona.it,275110.762132,4,4,81,5139,36,95,0.100773,0.067792,0.135648,0.551749,3501452,9723904,7375
164,https://www.valyoo.nl,275115.449407,3,16,287,58322,341,361,0.073431,0.075379,0.489394,0.904001,10240540,18010112,7459
165,https://brainlight-russia.com,275117.704196,1,2,222,15744,68,200,0.136099,0.296251,0.436908,1.404903,4366204,9199616,12239
166,https://fvrepro.com,275118.025379,7,3,6,4476,7,5,0.023958,0.024475,0.033713,0.157447,2178012,3821568,7829
167,https://www.newquayaccountants.co.uk,275118.63473,3,1,76,5924,41,98,0.028639,0.029656,0.16895,0.377753,8647268,13303808,9813
168,https://swspitcrew.com,275119.638178,4,1,9,3709,9,7,0.033284,0.010882,0.014615,0.116086,1939036,3821568,8713
169,https://www.mastercadena.es,275121.327544,36,39,4111,105135,122,462,0.230217,0.124388,0.592362,1.836751,34413576,52166656,10150
170,https://www.cieltd.us,275121.988452,4,2,110,7078,24,46,0.019853,0.011086,0.196491,0.327302,11479108,19517440,3519
171,https://www.legagestion.com,275123.099075,3,1,20,5455,18,19,0.011087,0.00777,0.025263,0.096494,2922508,4608000,7324
172,https://bigisuffolk.org,275124.151957,4,1,30,11441,23,85,0.087678,0.036179,0.03209,0.276027,3038536,8413184,3917
173,https://hrsummercamp.es,275125.909165,7,1,153,22604,118,217,0.109575,0.098453,0.106074,0.522817,3856264,8675328,5697
174,https://www.wasserburg-markvippach.com,275126.524882,9,4,104,5329,42,49,0.044834,0.015166,0.024193,0.183334,3690792,5267456,6552
175,http://dtmchurch.com,275126.846144,6,2,69,3613,25,25,0.013805,0.018138,0.069049,0.182218,4644768,9199616,5110
176,https://knockonwoodfurniture.com,275129.804631,3,6,139,33387,53,193,0.056345,0.079291,0.250968,0.713533,12946956,21569536,4779
177,https://www.csl-london.com,275130.412529,5,5,129,2006,15,57,0.013371,0.012705,0.165727,0.365677,8435204,12480512,3181
178,https://www.papazian-law.com,275133.788335,3,1,75,15526,19,14,0.018303,0.012589,0.040072,0.141031,3341536,6053888,2363
179,https://electromech.ms,275134.190288,4,4,143,10645,28,92,0.043741,0.046741,0.168559,0.467513,9726120,19415040,6135
180,http://soderasenstandklinik.se,275136.689465,2,2,69,13388,57,86,0.045962,0.083341,0.146433,0.557404,5111972,8167424,12114
181,https://craignair.com,275137.597336,5,10,310,11471,44,55,0.030597,0.023045,0.418969,1.085318,18854620,25161728,4986
182,https://www.csl-cremeria.it,275138.658956,2,3,118,25101,193,330,0.131262,0.126302,0.175035,0.889799,7114828,12673024,10083
183,https://www.beauty-4ever.ca,275138.959745,1,1,247,7116,17,32,0.016537,0.013321,0.110468,0.410246,11970772,22126592,3684
184,https://www.removalservicesglasgow.co.uk,275140.071023,3,1,0,1332,7,2,0.009669,0.001252,0.004303,0.048441,1810864,3432448,2798
185,https://www.studiohdesign.co.nz,275142.208817,1,1,213,7289,221,268,0.053338,0.044197,0.429013,0.948421,14106352,24756224,7794
186,https://therapeuticendeavors.com,275143.772453,4,5,95,12267,31,123,0.079494,0.067461,0.257267,1.213362,11247196,23056384,4470
187,https://www.silman.com,275145.372263,14,14,221,37943,102,255,0.310084,0.138668,0.206929,1.110574,10877020,19709952,3726
188,https://www.centredentairesr.ca,275146.274258,3,5,321,20805,29,49,0.033862,0.034982,0.191755,0.828991,18482972,38350848,6040
189,https://washingtoncenterforcognitivetherapy.com,275146.842442,5,5,76,18466,182,250,0.091046,0.090923,0.132609,0.607389,7040956,11567104,6331
190,https://www.agendax.net,275148.370185,4,2,215,16678,92,169,0.054889,0.051976,0.286974,0.642209,10312316,18440192,7387
191,https://burtslaw.com,275150.818497,31,28,1473,123141,435,534,0.383495,0.391523,1.138466,3.234531,36375124,55296000,5257
192,https://an-der-elbe-wohnen.de,275151.980383,1,1,411,14041,38,110,0.048621,0.091567,0.123327,0.58704,5982280,16449536,5279
193,https://www.plamnina.com,275153.518048,2,2,732,20339,24,59,0.071774,0.044043,0.559198,1.400395,22697348,41492480,5064
194,https://www.neuville-en-ferrain.fr,275155.410292,11,11,27,76058,14,62,0.08107,0.104103,0.018612,0.774363,1191752,7102464,5317
195,https://wjilaw.com,275157.342629,2,6,838,54550,50,253,0.089944,0.122343,2.326727,3.146662,22672884,41181184,9638
196,https://bluesupplycompany.com,275159.874989,1,7,123,6071,28,46,0.009317,0.012338,0.18201,0.350695,8864576,15040512,4075
197,https://www.cskyd.com,275162.596465,2,2,36,17397,23,33,0.168908,0.05268,0.005868,0.414686,1219768,3035136,8437
198,http://www.jeffsaxophone.com,275163.396405,3,1,2,3837,5,3,0.012652,0.001224,0.010228,0.068002,1871768,3694592,2595
199,http://frankyarchitect.com,275166.870125,2,2,57,5448,47,95,0.024511,0.062787,0.112186,0.869319,4655368,10510336,5161
200,http://www.gabrielshill.com,275167.22835,3,1,0,162,6,1,0.00478,0.000582,0,0.037791,1186840,3297280,3984
201,https://www.apexway.com.tw,275169.428701,7,6,985,42498,131,277,0.179691,0.0994,0.396713,1.197155,14955468,23093248,4208
202,https://www.hairbeautyink.com.au,275170.409046,4,5,969,151195,83,656,0.123867,0.352997,4.31032,8.197324,24153488,44523520,22970
203,https://cherielouve.com,275171.667387,9,14,410,21454,171,539,0.310337,0.240358,0.943162,2.708571,17258064,35414016,9728
204,https://www.westmountins.com,275172.057011,24,8,47,6627,25,41,0.058753,0.040441,0.067265,0.261896,4765852,7626752,3401
205,https://www.cslbeaumont.org,275174.733826,2,4,343,996,37,161,0.028608,0.044347,0.318369,1.305885,13205348,33316864,6573
