S.N,URL,Timestamp,Documents,Frames,JSEventListeners,Nodes,LayoutCount,RecalcStyleCount,LayoutDuration,RecalcStyleDuration,ScriptDuration,TaskDuration,JSHeapUsedSize,JSHeapTotalSize,RenderingTime
60,https://www.logistaparcel.com,274237.785093,18,11,131,26073,23,42,0.020307,0.02744,0.087966,0.277969,6699208,11628544,3614
61,http://www.cskonferencia.sk,274239.284426,77,77,251,16818,44,69,0.11875,0.132418,0.085695,0.712286,4115976,10772480,7339
62,http://www.cellcost.pk,274240.076834,3,1,117,9887,20,25,0.057551,0.012835,0.125109,0.293803,6574744,10248192,4267
63,https://www.cslmha.com,274240.315377,6,13,90,12882,30,43,0.018496,0.020691,0.402946,0.634336,15587840,25714688,5344
64,https://www.henderson-engineers.co.uk,274240.845416,4,1,36,6275,33,36,0.033935,0.032771,0.044404,0.234632,3205408,7540736,2533
65,https://praxisgemeinschaft-am-ringelberg.de,274241.617753,1,1,167,18160,32,52,0.082469,0.046746,0.204266,0.566342,8503336,17326080,4938
66,https://www.cskimkaratefortwayne.com,274243.920302,2,3,280,17033,17,25,0.041044,0.017425,0.108123,0.496363,9975208,20967424,2908
67,https://waldwichtel-koeln.de,274245.471065,12,5,92,6435,18,25,0.029639,0.023387,0.03391,0.172828,3325772,4751360,3917
68,https://shop.ncreu.org,274245.972525,3,1,632,24140,13,26,0.028129,0.07406,0.244226,0.507495,12666812,22265856,5086
69,http://www.klugpharma.com,274246.494312,3,1,65,8468,51,117,0.049556,0.05147,0.03746,0.245317,3404712,5791744,1590
70,https://www.hospitalcandidoportinari.com.br,274247.500226,2,2,76,5595,186,211,0.048821,0.035903,0.166343,0.413513,6504852,11821056,5018
71,https://www.dktcommunication.com,274248.698121,1,1,91,1640,99,144,0.054896,0.055955,0.207008,0.570163,5003464,11558912,9860
72,https://columbia-pi.com,274249.350455,5,10,335,9560,46,121,0.079287,0.125064,0.261897,0.772573,7596540,17326080,5844
73,https://ssquebec.com,274250.261477,1,1,217,7581,21,21,0.063834,0.025161,0.042493,0.359946,4435172,10772480,3128
74,https://www.moebel-mueller-juechen.de,274250.686828,6,2,61,2353,19,19,0.013342,0.011341,0.023333,0.093551,3029728,5267456,3712
75,https://www.cskeryado.fr,274251.872973,18,8,102,11038,98,142,0.092828,0.063811,0.076404,0.523479,4501920,9310208,3321
76,https://www.terrier.de,274252.676319,4,1,274,20215,35,88,0.059376,0.074969,0.605626,0.956834,5392548,10248192,4884
77,https://www.horselssenteret.no,274253.940677,4,1,104,1196,12,11,0.052266,0.008372,0.17734,0.344248,5584056,10510336,2758
78,https://www.startklahr.biz,274254.771753,8,9,666,25525,119,140,0.125564,0.074088,0.100582,0.689637,6382720,10997760,3791
79,http://nestaenergies.com,274255.347661,3,1,58,12288,18,19,0.079392,0.026082,0.047647,0.297245,4025608,5791744,1894
80,https://www.twinbrookpool.org,274255.690036,5,3,45,8086,24,24,0.024698,0.029713,0.11094,0.329249,3722428,5267456,14588
81,http://jamienicholas.com,274255.953105,4,1,57,2347,10,7,0.031089,0.01799,0.035038,0.153564,2289916,3821568,16854
82,https://amazonrainforestconservancy.com,274256.657376,6,9,152,10383,61,117,0.04948,0.053889,0.107834,0.474627,7373244,11522048,4018
83,https://www.ebmag.com,274257.366767,8,15,248,11760,68,190,0.10067,0.085979,0.595155,1.491248,20338336,41443328,6005
84,http://www.beginningdreamsdaycare.com,274257.785892,7,4,138,5436,22,27,0.011864,0.036285,0.119151,0.245939,5226768,9723904,1252
85,https://www.arhamdisplays.com,274261.533889,4,3,186,23002,56,194,0.066803,0.05528,0.161696,0.522172,8150104,12230656,2694
86,https://www.casagarage.it,274262.570855,3,5,86,10562,37,152,0.047541,0.063836,0.240664,0.686453,11189908,19697664,8014
87,https://penedesindustrial.com,274263.270455,2,6,72,7748,197,312,0.103123,0.077744,0.370477,0.856275,4410368,10510336,3688
